movie_id,title,rating,meta_score,year,revenue,director_id
1,leave the world behind,6.5,67.0,2023,0,763.0
2,wonka,7.4,66.0,2023,0,658.0
3,poor things,8.5,86.0,2023,0,912.0
4,killers of the flower moon,7.8,89.0,2023,0,548.0
5,may december,7.0,85.0,2023,0,864.0
6,the hunger games the ballad of songbirds & snakes,7.1,54.0,2023,0,257.0
7,napoleon,6.6,64.0,2023,0,717.0
8,oppenheimer,8.4,89.0,2023,933700000,154.0
9,love actually,7.6,55.0,2003,244931766,713.0
10,candy cane lane,5.6,47.0,2023,0,707.0
11,saltburn,7.5,61.0,2023,0,238.0
12,barbie,7.0,80.0,2023,1428545028,309.0
13,national lampoons christmas vacation,7.5,49.0,1989,71319546,383.0
14,rebel moon - part one a child of fire,6.3,32.0,2023,0,917.0
15,the family plan,6.3,40.0,2023,0,799.0
16,the holdovers,8.0,82.0,2023,0,27.0
17,family switch,5.6,37.0,2023,0,565.0
18,indiana jones and the dial of destiny,6.6,58.0,2023,382891104,351.0
19,elf,7.1,66.0,2003,225097437,441.0
20,how the grinch stole christmas,6.3,46.0,2000,345823040,751.0
21,maestro,7.3,78.0,2023,0,103.0
22,mr. monks last case a monk movie,7.0,65.0,2023,0,703.0
23,the iron claw,,72.0,2023,0,784.0
24,leo,7.0,65.0,2023,0,
25,fast charlie,5.9,70.0,2023,0,692.0
26,the creator,6.9,63.0,2023,0,269.0
27,the grinch,6.4,51.0,2018,508575295,
28,chicken run dawn of the nugget,6.5,63.0,2023,0,764.0
29,die hard,8.2,72.0,1988,140767956,430.0
30,the killer,6.8,73.0,2023,2350174,193.0
31,the super mario bros. movie,7.0,46.0,2023,1355725263,
32,violent night,6.7,55.0,2022,75734910,879.0
33,home alone 2 lost in new york,6.9,46.0,1992,358994850,140.0
34,a haunting in venice,6.5,63.0,2023,89800000,485.0
35,the marvels,5.9,50.0,2023,0,621.0
36,wish,5.8,47.0,2023,0,
37,the polar express,6.6,61.0,2004,310634054,740.0
38,its a wonderful life,8.6,89.0,1946,9644124,258.0
39,five nights at freddys,5.5,33.0,2023,0,241.0
40,the santa clause,6.6,57.0,1994,189833357,433.0
41,white christmas,7.6,56.0,1954,0,577.0
42,finestkind,5.8,44.0,2023,0,110.0
43,thanksgiving,6.8,63.0,2023,0,234.0
44,the holiday,6.9,52.0,2006,194168700,614.0
45,the hunger games,7.2,68.0,2012,694394724,274.0
46,the boys in the boat,,50.0,2023,0,283.0
47,a christmas story,7.9,77.0,1983,20653717,94.0
48,the color purple,,70.0,2023,146292000,92.0
49,willy wonka & the chocolate factory,7.8,67.0,1971,4000000,570.0
50,trolls band together,6.0,53.0,2023,0,
51,scrooged,6.9,38.0,1988,60328558,714.0
52,ferrari,6.7,74.0,2023,0,587.0
53,no hard feelings,6.4,59.0,2023,82995526,280.0
54,charlie and the chocolate factory,6.7,72.0,2005,474968763,856.0
55,x,6.5,79.0,2022,14779858,855.0
56,mission impossible - dead reckoning part one,7.8,81.0,2023,563148955,153.0
57,spider-man across the spider-verse,8.6,86.0,2023,683241751,
58,asteroid city,6.6,75.0,2023,47281670,898.0
59,blue beetle,6.0,61.0,2023,124818235,52.0
60,eileen,6.7,71.0,2023,0,905.0
61,love and monsters,6.9,63.0,2020,1122066,588.0
62,dune,8.0,74.0,2021,402027830,215.0
63,spirited,6.6,55.0,2022,0,782.0
64,dream scenario,7.4,74.0,2023,0,497.0
65,jingle all the way,5.7,34.0,1996,129832389,112.0
66,priscilla,6.9,78.0,2023,0,804.0
67,talk to me,7.1,76.0,2022,72600000,
68,the batman,7.8,72.0,2022,770945583,556.0
69,everything everywhere all at once,7.8,81.0,2022,139200000,
70,american fiction,7.8,81.0,2023,0,165.0
71,interstellar,8.7,74.0,2014,701729206,154.0
72,all of us strangers,,90.0,2023,0,40.0
73,genie,5.9,35.0,2023,0,762.0
74,klaus,8.2,65.0,2019,0,
75,the shawshank redemption,9.3,82.0,1994,28341469,260.0
76,cat person,6.1,48.0,2023,0,830.0
77,a christmas carol,6.8,55.0,2009,325286646,740.0
78,last christmas,6.5,50.0,2019,121550750,655.0
79,reptile,6.8,52.0,2023,0,304.0
80,the suicide squad,7.2,72.0,2021,168717425,348.0
81,gremlins,7.3,70.0,1984,153083102,399.0
82,the godfather,9.2,100.0,1972,245066411,256.0
83,the wolf of wall street,8.2,75.0,2013,392000000,548.0
84,the equalizer 3,6.9,58.0,2023,158300000,59.0
85,merry little batman,6.4,74.0,2023,0,606.0
86,underwater,5.9,48.0,2020,40882928,903.0
87,christmas with the kranks,5.5,22.0,2004,0,402.0
88,john wick chapter 4,7.7,78.0,2023,426978565,126.0
89,the santa clause 2,5.7,48.0,2002,172842355,586.0
90,gran turismo,7.2,48.0,2023,114800000,620.0
91,miracle on 34th street,7.9,88.0,1947,46264384,290.0
92,chicken run,7.1,88.0,2000,224834564,
93,four christmases,5.7,41.0,2008,164112721,790.0
94,mad max fury road,8.1,90.0,2015,378858340,286.0
95,glory,7.8,78.0,1989,26828365,232.0
96,suicide squad,5.9,40.0,2016,746846894,187.0
97,the muppet christmas carol,7.8,64.0,1992,27281507,111.0
98,the family stone,6.3,56.0,2005,92884429,850.0
